full_name,description,language,topics,query_keyword,project_category,true_label,pred_label,html_url
microsoft/AutonomousDrivingCookbook,"Scenarios, tutorials and demos for Autonomous Driving",Jupyter Notebook,airsim autonomous-driving autonomous-driving-cookbook autonomous-vehicles car cntk deep-learning keras microsoft microsoft-garage robotics self-driving-car simulation tensorflow tutorial,robotics,robotics,robotics,deep_learning_framework,https://github.com/microsoft/AutonomousDrivingCookbook
neuralmagic/deepsparse,Sparsity-aware deep learning inference runtime for CPUs,Python,computer-vision cpus deepsparse inference llm-inference machinelearning nlp object-detection onnx performance pretrained-models pruning quantization sparsification,deep learning,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/neuralmagic/deepsparse
zju3dv/LoFTR,"Code for ""LoFTR: Detector-Free Local Feature Matching with Transformers"", CVPR 2021, T-PAMI 2022",Jupyter Notebook,3d-vision feature-matching pose-estimation,transformer,natural_language_processing,natural_language_processing,computer_vision,https://github.com/zju3dv/LoFTR
lucidrains/PaLM-rlhf-pytorch,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,Python,artificial-intelligence attention-mechanisms deep-learning human-feedback reinforcement-learning transformers,pytorch,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/lucidrains/PaLM-rlhf-pytorch
zubair-irshad/Awesome-Robotics-3D,"A curated list of 3D Vision papers relating to Robotics domain in the era of large models i.e. LLMs/VLMs, inspired by awesome-computer-vision, including papers, codes, and related websites",Unknown,3d benchmarks computer-vision diffusion-models foundation-models gaussian-splatting grasping llm manipulation navigation nerf pointclouds policy-learning pretraining robotics scene-graph simulations vision-language-model vlm,computer vision,computer_vision,computer_vision,natural_language_processing,https://github.com/zubair-irshad/Awesome-Robotics-3D
facebookresearch/encodec,State-of-the-art deep learning based audio codec supporting both mono 24 kHz audio and stereo 48 kHz audio.,Python,,deep learning,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/facebookresearch/encodec
facebookresearch/dinov2,PyTorch code and models for the DINOv2 self-supervised learning method.,Jupyter Notebook,,pytorch,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/facebookresearch/dinov2
naturomics/CapsNet-Tensorflow,A Tensorflow implementation of CapsNet(Capsules Net) in paper Dynamic Routing Between Capsules,Python,capsnet capsule capsule-network dynamic-routing routing-algorithm tensorflow,tensorflow,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/naturomics/CapsNet-Tensorflow
fchollet/deep-learning-models,Keras code and weights files for popular deep learning models.,Python,,deep learning,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/fchollet/deep-learning-models
thtrieu/darkflow,"Translate darknet to tensorflow. Load trained weights, retrain/fine-tune using tensorflow, export constant graph def to mobile devices",Python,convolutional-networks convolutional-neural-networks darknet deep-learning deep-neural-networks graph image-processing machine-learning mobile-development object-detection real-time tensorflow,tensorflow,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/thtrieu/darkflow
nadermx/backgroundremover,Background Remover lets you Remove Background from images and video using AI with a simple command line interface that is free and open source.,Python,ai background-removal background-remover backgroundremover photo-editing python pytorch remove-background remove-background-image remove-background-video removebackground video video-editing,pytorch,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/nadermx/backgroundremover
649453932/Chinese-Text-Classification-Pytorch,中文文本分类，TextCNN，TextRNN，FastText，TextRCNN，BiLSTM_Attention，DPCNN，Transformer，基于pytorch，开箱即用。,Python,,transformer,natural_language_processing,natural_language_processing,deep_learning_framework,https://github.com/649453932/Chinese-Text-Classification-Pytorch
facebookresearch/dinov3,Reference PyTorch implementation and models for DINOv3,Jupyter Notebook,,pytorch,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/facebookresearch/dinov3
google-research/bert,TensorFlow code and pre-trained models for BERT,Python,google natural-language-processing natural-language-understanding nlp tensorflow,tensorflow,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/google-research/bert
chiphuyen/stanford-tensorflow-tutorials,This repository contains code examples for the Stanford's course: TensorFlow for Deep Learning Research.,Python,chatbot course-materials deep-learning machine-learning natural-language-processing nlp python stanford tensorflow tutorial,deep learning,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/chiphuyen/stanford-tensorflow-tutorials
huggingface/peft,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.,Python,adapter diffusion fine-tuning llm lora parameter-efficient-learning peft python pytorch transformers,pytorch,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/huggingface/peft
NVIDIA/FastPhotoStyle,"Style transfer, deep learning, feature transform",Python,,deep learning,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/NVIDIA/FastPhotoStyle
dlab-berkeley/Computational-Social-Science-Training-Program,"This course is a rigorous, year-long introduction to computational social science. We cover topics spanning reproducibility and collaboration, machine learning, natural language processing, and causal inference. This course has a strong applied focus with emphasis placed on doing computational social science.",Jupyter Notebook,,natural language processing,natural_language_processing,natural_language_processing,deep_learning_framework,https://github.com/dlab-berkeley/Computational-Social-Science-Training-Program
datawhalechina/leedl-tutorial,《李宏毅深度学习教程》（李宏毅老师推荐👍，苹果书🍎），PDF下载地址：https://github.com/datawhalechina/leedl-tutorial/releases,Jupyter Notebook,bert chatgpt cnn deep-learning diffusion gan leedl-tutorial machine-learning network-compression pruning reinforcement-learning rnn self-attention transfer-learning transformer tutorial,transformer,natural_language_processing,natural_language_processing,deep_learning_framework,https://github.com/datawhalechina/leedl-tutorial
davidsandberg/facenet,Face recognition using Tensorflow,Python,computer-vision deep-learning face-detection face-recognition facenet mtcnn tensorflow,tensorflow,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/davidsandberg/facenet
timeseriesAI/tsai,Time series Timeseries Deep Learning Machine Learning Python Pytorch fastai | State-of-the-art Deep Learning library for Time Series and Sequences in Pytorch / fastai,Jupyter Notebook,classification cnn deep-learning fastai forecasting inceptiontime machine-learning python pytorch regression rnn rocket self-supervised sequential state-of-the-art time-series time-series-analysis time-series-classification timeseries transformer,transformer,natural_language_processing,natural_language_processing,deep_learning_framework,https://github.com/timeseriesAI/tsai
zcablii/SARDet_100K,[NeurIPS 2024 spotlight] Offical implementation of MSFA and release of SARDet_100K dataset for Large-Scale Synthetic Aperture Radar (SAR) Object Detection,Python,,object detection,computer_vision,computer_vision,deep_learning_framework,https://github.com/zcablii/SARDet_100K
taki0112/UGATIT,Official Tensorflow implementation of U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation (ICLR 2020),Python,,tensorflow,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/taki0112/UGATIT
clovaai/deep-text-recognition-benchmark,"Text recognition (optical character recognition) with deep learning methods, ICCV 2019",Jupyter Notebook,crnn deep-learning grcnn iccv2019 ocr ocr-recognition r2am rare recognition rosetta scene-text scene-text-recognition star-net text-recognition,deep learning,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/clovaai/deep-text-recognition-benchmark
LibreYOLO/libreyolo,LibreYOLO is a MIT licensed open source computer vision library,Python,,computer vision,computer_vision,computer_vision,deep_learning_framework,https://github.com/LibreYOLO/libreyolo
Beckschen/TransUNet,"This repository includes the official project of TransUNet, presented in our paper: TransUNet: Transformers Make Strong Encoders for Medical Image Segmentation.",Python,,transformer,natural_language_processing,natural_language_processing,computer_vision,https://github.com/Beckschen/TransUNet
Skyvern-AI/skyvern,Automate browser based workflows with AI,Python,ai api automation browser browser-automation computer gpt llm playwright powerautomate puppeteer python rpa selenium vision workflow,computer vision,computer_vision,computer_vision,natural_language_processing,https://github.com/Skyvern-AI/skyvern
chenyuntc/pytorch-book,"PyTorch tutorials and fun projects including neural talk, neural style, poem writing, anime generation (《深度学习框架PyTorch：入门与实战》)",Jupyter Notebook,autograd caption charrnn deep-learning gan image-classification jupyter-notebook neural-style neuraltalk nn pytorch pytorch-tutorials pytorch-tutorials-cn tensor tensorboard visdom,pytorch,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/chenyuntc/pytorch-book
Sanster/IOPaint,"Image inpainting tool powered by SOTA AI Model. Remove any unwanted object, defect, people from your pictures or erase and replace(powered by stable diffusion) any thing on your pictures.",Python,inpainting lama latent-diffusion mat pytorch stable-diffusion zits,pytorch,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/Sanster/IOPaint
NELSONZHAO/zhihu,"This repo contains the source code in my personal column (https://zhuanlan.zhihu.com/zhaoyeyu), implemented using Python 3.6. Including Natural Language Processing and Computer Vision projects, such as text generation, machine translation, deep convolution GAN and other actual combat code.",Jupyter Notebook,autoencoder convolutional-neural-networks deep-learning gan machine-translation natural-language-processing recurrent-neural-networks style-transfer tensorflow-examples,computer vision,computer_vision,computer_vision,deep_learning_framework,https://github.com/NELSONZHAO/zhihu
OpenHelix-Team/VLA-Adapter,VLA-Adapter: An Effective Paradigm for Tiny-Scale Vision-Language-Action Model,Python,embodied-ai robotics vision-language-action-model,robotics,robotics,robotics,natural_language_processing,https://github.com/OpenHelix-Team/VLA-Adapter
labmlai/annotated_deep_learning_paper_implementations,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",Python,attention deep-learning deep-learning-tutorial gan literate-programming lora machine-learning neural-networks optimizers pytorch reinforcement-learning transformer transformers,transformer,natural_language_processing,natural_language_processing,deep_learning_framework,https://github.com/labmlai/annotated_deep_learning_paper_implementations
strasdat/Sophus,C++ implementation of Lie Groups using Eigen.,C++,2d 3d c-plus-plus computer-vision geometry graphics math python robotics,robotics,robotics,robotics,computer_vision,https://github.com/strasdat/Sophus
WongKinYiu/yolov7,Implementation of paper - YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors,Jupyter Notebook,darknet pytorch scaled-yolov4 yolor yolov3 yolov4 yolov7,pytorch,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/WongKinYiu/yolov7
prathimacode-hub/ML-ProjectKart,"🙌Kart of 234+ projects based on machine learning, deep learning, computer vision, natural language processing and all. Show your support by ✨ this repository.",Jupyter Notebook,algorithms algorithms-and-data-structures algorithms-datastructures beginner-friendly computer-vision contributions-welcome deep-learning hacktoberfest hacktoberfest2023 machine-learning machine-learning-algorithms natural-language-processing open-source projects python python3 scripts-collection,computer vision,computer_vision,computer_vision,deep_learning_framework,https://github.com/prathimacode-hub/ML-ProjectKart
balancap/SSD-Tensorflow,Single Shot MultiBox Detector in TensorFlow,Jupyter Notebook,deep-learning object-detection ssd tensorflow yolo,tensorflow,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/balancap/SSD-Tensorflow
apachecn/ailearning,AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2,Python,adaboost apriori deeplearning dnn fp-growth kmeans logistic lstm mahchine-leaning naivebayes nlp pca python recommendedsystem regression rnn scikit-learn sklearn svd svm,pytorch,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/apachecn/ailearning
CLUEbenchmark/CLUE,"中文语言理解测评基准 Chinese Language Understanding Evaluation Benchmark: datasets, baselines, pre-trained models, corpus and leaderboard",Python,albert benchmark bert chinese chineseglue corpus dataset glue language-model nlu pretrained-models pytorch roberta tensorflow transformers,tensorflow,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/CLUEbenchmark/CLUE
microsoft/PromptCraft-Robotics,Community for applying LLMs to robotics and a robot simulator with ChatGPT integration,Python,airsim chatgpt llm prompt-engineering robotics simulation,robotics,robotics,robotics,natural_language_processing,https://github.com/microsoft/PromptCraft-Robotics
ashishpatel26/ResourceBank_CV_NLP_MLOPS_2022,"This repository offers a goldmine of materials for students of computer vision, natural language processing, and machine learning operations.",Jupyter Notebook,computer-vision data-science deep-learning mlops natural-language-processing,computer vision,computer_vision,computer_vision,deep_learning_framework,https://github.com/ashishpatel26/ResourceBank_CV_NLP_MLOPS_2022
hyunwoongko/transformer,"Transformer: PyTorch Implementation of ""Attention Is All You Need""",Python,attention dataset pytorch transformer,transformer,natural_language_processing,natural_language_processing,computer_vision,https://github.com/hyunwoongko/transformer
accel-brain/accel-brain-code,"The purpose of this repository is to make prototypes as case study in the context of proof of concept(PoC) and research and development(R&D) that I have written in my website. The main research topics are Auto-Encoders in relation to the representation learning, the statistical machine learning for energy-based models, adversarial generation networks(GANs), Deep Reinforcement Learning such as Deep Q-Networks, semi-supervised learning, and neural network language model for natural language processing.",Python,auto-encoder automatic-summarization combinatorial-optimization deep-learning deep-q-network deep-reinforcement-learning energy-based-model generative-adversarial-network lstm multi-agent-reinforcement-learning q-learning quantum-annealing quantum-monte-carlo reinforcement-learning restricted-boltzmann-machine self-supervised-learning semi-supervised-learning simulated-annealing transfer-learning,natural language processing,natural_language_processing,natural_language_processing,deep_learning_framework,https://github.com/accel-brain/accel-brain-code
affinelayer/pix2pix-tensorflow,Tensorflow port of Image-to-Image Translation with Conditional Adversarial Nets https://phillipi.github.io/pix2pix/,JavaScript,,tensorflow,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/affinelayer/pix2pix-tensorflow
intel/ipex-llm,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, DeepSeek, Mixtral, Gemma, Phi, MiniCPM, Qwen-VL, MiniCPM-V, etc.) on Intel XPU (e.g., local PC with iGPU and NPU, discrete GPU such as Arc, Flex and Max); seamlessly integrate with llama.cpp, Ollama, HuggingFace, LangChain, LlamaIndex, vLLM, DeepSpeed, Axolotl, etc.",Python,gpu llm pytorch transformers,pytorch,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/intel/ipex-llm
mathiasmantelli/awesome-mobile-robotics,"Useful links of different content related to AI, Computer Vision, and Robotics.",Unknown,autonomous-robots autonomous-systems awesome-list books companies datasets jobs lab labs localization mobile-robotics research robotics ros slam uav youtube,computer vision,computer_vision,computer_vision,robotics,https://github.com/mathiasmantelli/awesome-mobile-robotics
karpathy/micrograd,A tiny scalar-valued autograd engine and a neural net library on top of it with PyTorch-like API,Jupyter Notebook,,pytorch,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/karpathy/micrograd
ludwig-ai/ludwig,"Low-code framework for building custom LLMs, neural networks, and other AI models",Python,computer-vision data-centric data-science deep deep-learning deeplearning fine-tuning learning llama llama2 llm llm-training machine-learning machinelearning mistral ml natural-language natural-language-processing neural-network pytorch,deep learning,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/ludwig-ai/ludwig
charlesq34/pointnet,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,Python,classification geometry-processing neural-network point-cloud segmentation tensorflow,deep learning,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/charlesq34/pointnet
NVIDIA-AI-IOT/tf_to_trt_image_classification,Image classification with NVIDIA TensorRT from TensorFlow models.,Python,benchmark jetson-tx2 tensorflow tensorflow-models tensorrt,image classification,computer_vision,computer_vision,deep_learning_framework,https://github.com/NVIDIA-AI-IOT/tf_to_trt_image_classification
deepset-ai/haystack,"Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generation. Built for scalable agents, RAG, multimodal applications, semantic search, and conversational systems.",MDX,agent agents ai gemini generative-ai gpt-4 information-retrieval large-language-models llm machine-learning nlp orchestration python pytorch question-answering rag retrieval-augmented-generation semantic-search summarization transformers,pytorch,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/deepset-ai/haystack
